CRANKANGLE,Temperature Burned Cylinder 1 (K)
[deg],[K]
-150,272,263
-149,273,153
-148,273,967
-147,274,796
-146,275,697
-145,276,453
-144,277,498
-143,278,559
-142,279,716
-141,280,825
-140,281,977
-139,282,902
-138,283,79
-137,284,927
-136,286,213
-135,287,589
-134,288,859
-133,290,137
-132,291,295
-131,292,543
-130,293,789
-129,295,207
-128,296,741
-127,298,378
-126,299,892
-125,301,485
-124,303,098
-123,304,61
-122,306,21
-121,307,672
-120,309,088
-119,310,539
-118,312,034
-117,313,467
-116,314,929
-115,316,489
-114,318,171
-113,319,884
-112,321,686
-111,323,822
-110,325,984
-109,328,139
-108,330,437
-107,332,792
-106,335,304
-105,338,064
-104,340,823
-103,343,391
-102,345,881
-101,348,233
-100,350,762
-99,353,426
-98,356,07
-97,358,601
-96,361,223
-95,364,105
-94,366,989
-93,369,722
-92,372,489
-91,375,339
-90,378,238
-89,381,23
-88,384,339
-87,387,498
-86,390,793
-85,394,132
-84,397,546
-83,401,085
-82,404,644
-81,408,243
-80,411,756
-79,415,419
-78,419,205
-77,423,015
-76,426,868
-75,430,69
-74,434,683
-73,438,841
-72,443,219
-71,447,58
-70,451,986
-69,456,424
-68,461,007
-67,465,625
-66,470,359
-65,475,082
-64,479,871
-63,484,805
-62,489,866
-61,494,994
-60,500,29
-59,505,675
-58,511,068
-57,516,55
-56,522,198
-55,527,916
-54,533,73
-53,539,694
-52,545,803
-51,552,067
-50,558,448
-49,564,877
-48,571,333
-47,578,012
-46,584,827
-45,591,744
-44,598,83
-43,606,064
-42,613,405
-41,620,889
-40,628,421
-39,635,991
-38,643,809
-37,651,805
-36,659,851
-35,668,002
-34,676,232
-33,684,456
-32,692,911
-31,701,497
-30,710
-29,718,118
-28,725,37
-27,732,388
-26,740,02
-25,748,363
-24,757,302
-23,767,583
-22,780,607
-21,2575,03
-20,2589,13
-19,2609,79
-18,2629,33
-17,2624,61
-16,2627,53
-15,2637,3
-14,2648,82
-13,2661,13
-12,2674,11
-11,2687,95
-10,2702,18
-9,2715,85
-8,2728,68
-7,2739,39
-6,2748,12
-5,2754,95
-4,2760,03
-3,2763,43
-2,2765,08
-1,2764,99
0,2762,75
1,2761,41
2,2740,73
3,2715,14
4,2694,21
5,2671,9
6,2648,41
7,2622,77
8,2595,39
9,2565,15
10,2535,14
11,2506,63
12,2479,21
13,2453,43
14,2428,87
15,2405,03
16,2380,84
17,2356,88
18,2333,3
19,2310,03
20,2286,51
21,2263,32
22,2240,62
23,2218,41
24,2196,57
25,2174,69
26,2153,34
27,2132,44
28,2111,99
29,2091,91
30,2071,85
31,2052,24
32,2033,07
33,2014,31
34,1995,9
35,1977,58
36,1959,69
37,1942,2
38,1925,08
39,1908,38
40,1892,03
41,1875,8
42,1859,91
43,1844,37
44,1829,17
45,1814,31
46,1799,75
47,1785,34
48,1771,27
49,1757,53
50,1744,12
51,1731,04
52,1718,22
53,1705,49
54,1693,13
55,1680,94
56,1668,84
57,1656,98
58,1645,3
59,1633,7
60,1622,34
61,1611,27
62,1600,52
63,1589,87
64,1579,48
65,1569,25
66,1559,23
67,1549,5
68,1539,84
69,1530,36
70,1521,18
71,1512,12
72,1503,16
73,1494,28
74,1485,57
75,1477,22
76,1469,09
77,1461,06
78,1453,08
79,1445,31
80,1437,71
81,1430,28
82,1423,12
83,1416,12
84,1409,3
85,1402,59
86,1396,01
87,1389,41
88,1382,76
89,1376,28
90,1370,01
91,1363,83
92,1357,75
93,1351,78
94,1345,86
95,1340,01
96,1334,41
97,1328,87
98,1323,51
99,1318,34
100,1313,11
101,1307,95
102,1303,1
103,1298,34
104,1293,5
105,1288,72
106,1284,14
107,1279,62
108,1275,15
109,1270,85
110,1266,66
111,1262,49
112,1258,28
113,1254,13
114,1250,11
115,1246,3
116,1242,71
117,1239,1
118,1235,34
119,1231,71
120,1228,36
121,1225,11
122,1221,79
123,1218,54
124,1215,35
125,1212,2
126,1209,11
127,1205,91
128,1202,58
129,1199,13
130,1195,55
131,1191,56
132,1187,26
133,1182,91
134,1178,21
135,1173,08
136,1167,58
137,1161,79
138,1155,61
139,947,137
