CRANKANGLE,Temperature Unburned Cylinder 1 (K)
[deg],[K]
-150,272,263
-149,273,153
-148,273,967
-147,274,796
-146,275,697
-145,276,453
-144,277,498
-143,278,559
-142,279,716
-141,280,825
-140,281,977
-139,282,902
-138,283,79
-137,284,927
-136,286,213
-135,287,589
-134,288,859
-133,290,137
-132,291,295
-131,292,543
-130,293,789
-129,295,207
-128,296,741
-127,298,378
-126,299,892
-125,301,485
-124,303,098
-123,304,61
-122,306,21
-121,307,672
-120,309,088
-119,310,539
-118,312,034
-117,313,467
-116,314,929
-115,316,489
-114,318,171
-113,319,884
-112,321,686
-111,323,822
-110,325,984
-109,328,139
-108,330,437
-107,332,792
-106,335,304
-105,338,064
-104,340,823
-103,343,391
-102,345,881
-101,348,233
-100,350,762
-99,353,426
-98,356,07
-97,358,601
-96,361,223
-95,364,105
-94,366,989
-93,369,722
-92,372,489
-91,375,339
-90,378,238
-89,381,23
-88,384,339
-87,387,498
-86,390,793
-85,394,132
-84,397,546
-83,401,085
-82,404,644
-81,408,243
-80,411,756
-79,415,419
-78,419,205
-77,423,015
-76,426,868
-75,430,69
-74,434,683
-73,438,841
-72,443,219
-71,447,58
-70,451,986
-69,456,424
-68,461,007
-67,465,625
-66,470,359
-65,475,082
-64,479,871
-63,484,805
-62,489,866
-61,494,994
-60,500,29
-59,505,675
-58,511,068
-57,516,55
-56,522,198
-55,527,916
-54,533,73
-53,539,694
-52,545,803
-51,552,067
-50,558,448
-49,564,877
-48,571,333
-47,578,012
-46,584,827
-45,591,744
-44,598,83
-43,606,064
-42,613,405
-41,620,889
-40,628,421
-39,635,991
-38,643,809
-37,651,805
-36,659,851
-35,668,002
-34,676,232
-33,684,456
-32,692,911
-31,701,497
-30,710
-29,718,118
-28,725,37
-27,732,388
-26,740,02
-25,748,363
-24,757,302
-23,767,583
-22,780,607
-21,795,529
-20,807,323
-19,818,431
-18,829,601
-17,841,951
-16,856,773
-15,873,701
-14,890,272
-13,905,263
-12,918,346
-11,929,885
-10,940,133
-9,949,229
-8,956,756
-7,962,286
-6,966,123
-5,968,449
-4,969,589
-3,969,675
-2,968,707
-1,966,741
0,963,264
1,962,819
2,966,877
3,975,189
4,982,304
5,989,894
6,998,325
7,1006,8
8,1014,93
9,1022,14
10,1027,35
11,1029,33
12,1027,74
13,1023,54
14,1017,57
15,1010,47
16,1002,6
17,994,025
18,985,045
19,975,802
20,966,313
21,956,626
22,946,736
23,936,705
24,926,583
25,916,418
26,906,232
27,896,051
28,885,802
29,875,642
30,865,577
31,855,655
32,845,864
33,836,22
34,826,717
35,817,383
36,808,249
37,799,253
38,790,279
39,781,522
40,772,974
41,764,608
42,756,409
43,748,389
44,740,546
45,732,889
46,725,409
47,718,116
48,711,006
49,704,069
50,697,293
51,690,571
52,683,982
53,677,33
54,671,091
55,664,913
56,658,669
57,652,525
58,646,434
59,640,277
60,634,244
61,628,38
62,622,716
63,617,187
64,611,823
65,606,502
66,601,273
67,596,149
68,590,968
69,585,866
70,580,973
71,576,096
72,571,228
73,566,452
74,561,789
75,557,39
76,553,143
77,548,898
78,544,608
79,540,45
80,536,388
81,532,423
82,528,64
83,524,957
84,521,373
85,517,84
86,514,441
87,510,98
88,507,384
89,503,891
90,500,55
91,497,178
92,493,833
93,490,54
94,487,232
95,483,942
96,480,842
97,477,75
98,474,778
99,471,95
100,469,005
101,466,082
102,463,413
103,460,808
104,458,136
105,455,477
106,452,974
107,450,478
108,447,991
109,445,621
110,443,324
111,441,001
112,438,584
113,436,196
114,433,891
115,431,76
116,429,813
117,427,81
118,425,601
119,423,501
120,421,638
121,419,84
122,417,938
123,416,066
124,414,225
125,412,385
126,410,576
127,408,618
128,406,498
129,404,227
130,401,855
131,399,043
132,395,86
133,392,592
134,388,953
135,384,847
136,380,352
137,375,534
138,370,308
139,947,137
