CRANKANGLE,Mass Cylinder 1 (kg)
[deg],[kg]
-150,0,0005008
-149,0,0005008
-148,0,0005008
-147,0,0005008
-146,0,0005008
-145,0,0005008
-144,0,0005008
-143,0,0005008
-142,0,0005008
-141,0,0005008
-140,0,0005008
-139,0,0005008
-138,0,0005008
-137,0,0005008
-136,0,0005008
-135,0,0005008
-134,0,0005008
-133,0,0005008
-132,0,0005008
-131,0,0005008
-130,0,0005008
-129,0,0005008
-128,0,0005008
-127,0,0005008
-126,0,0005008
-125,0,0005008
-124,0,0005008
-123,0,0005008
-122,0,0005008
-121,0,0005008
-120,0,0005008
-119,0,0005008
-118,0,0005008
-117,0,0005008
-116,0,0005008
-115,0,0005008
-114,0,0005008
-113,0,0005008
-112,0,0005008
-111,0,0005008
-110,0,0005008
-109,0,0005008
-108,0,0005008
-107,0,0005008
-106,0,0005008
-105,0,0005008
-104,0,0005008
-103,0,0005008
-102,0,0005008
-101,0,0005008
-100,0,0005008
-99,0,0005008
-98,0,0005008
-97,0,0005008
-96,0,0005008
-95,0,0005008
-94,0,0005008
-93,0,0005008
-92,0,0005008
-91,0,0005008
-90,0,0005008
-89,0,0005008
-88,0,0005008
-87,0,0005008
-86,0,0005008
-85,0,0005008
-84,0,0005008
-83,0,0005008
-82,0,0005008
-81,0,0005008
-80,0,0005008
-79,0,0005008
-78,0,0005008
-77,0,0005008
-76,0,0005008
-75,0,0005008
-74,0,0005008
-73,0,0005008
-72,0,0005008
-71,0,0005008
-70,0,0005008
-69,0,0005008
-68,0,0005008
-67,0,0005008
-66,0,0005008
-65,0,0005008
-64,0,0005008
-63,0,0005008
-62,0,0005008
-61,0,0005008
-60,0,0005008
-59,0,0005008
-58,0,0005008
-57,0,0005008
-56,0,0005008
-55,0,0005008
-54,0,0005008
-53,0,0005008
-52,0,0005008
-51,0,0005008
-50,0,0005008
-49,0,0005008
-48,0,0005008
-47,0,0005008
-46,0,0005008
-45,0,0005008
-44,0,0005008
-43,0,0005008
-42,0,0005008
-41,0,0005008
-40,0,0005008
-39,0,0005008
-38,0,0005008
-37,0,0005008
-36,0,0005008
-35,0,0005008
-34,0,0005008
-33,0,0005008
-32,0,0005008
-31,0,0005008
-30,0,0005008
-29,0,0005008
-28,0,0005008
-27,0,0005008
-26,0,0005008
-25,0,0005008
-24,0,0005008
-23,0,0005008
-22,0,0005008
-21,0,0005008
-20,0,000500834
-19,0,000500842
-18,0,000500851
-17,0,000500904
-16,0,000501054
-15,0,000501293
-14,0,000501536
-13,0,00050173
-12,0,000501868
-11,0,000501958
-10,0,000502017
-9,0,00050205
-8,0,000502065
-7,0,000502068
-6,0,000502068
-5,0,000502068
-4,0,000502068
-3,0,000502068
-2,0,000502068
-1,0,000502068
0,0,000502068
1,0,000502097
2,0,000502379
3,0,000502924
4,0,000503499
5,0,000504184
6,0,000505023
7,0,000505993
8,0,000507072
9,0,000508233
10,0,000509394
11,0,000510429
12,0,00051128
13,0,000511979
14,0,000512576
15,0,000513112
16,0,000513605
17,0,000514063
18,0,000514496
19,0,00051491
20,0,000515301
21,0,000515668
22,0,000516007
23,0,000516319
24,0,000516606
25,0,000516869
26,0,00051711
27,0,000517333
28,0,000517541
29,0,000517733
30,0,000517907
31,0,000518069
32,0,000518217
33,0,000518351
34,0,000518473
35,0,000518584
36,0,00051869
37,0,000518787
38,0,000518876
39,0,000518959
40,0,000519038
41,0,00051911
42,0,000519173
43,0,000519231
44,0,000519286
45,0,000519337
46,0,000519383
47,0,000519425
48,0,000519466
49,0,000519503
50,0,000519539
51,0,000519573
52,0,000519605
53,0,000519634
54,0,000519663
55,0,00051969
56,0,000519713
57,0,000519734
58,0,000519754
59,0,00051977
60,0,000519785
61,0,0005198
62,0,000519816
63,0,000519831
64,0,000519846
65,0,000519859
66,0,000519871
67,0,000519883
68,0,000519893
69,0,000519902
70,0,000519912
71,0,00051992
72,0,000519926
73,0,000519931
74,0,000519937
75,0,000519945
76,0,000519953
77,0,00051996
78,0,000519965
79,0,00051997
80,0,000519975
81,0,00051998
82,0,000519986
83,0,000519992
84,0,000519998
85,0,000520003
86,0,000520008
87,0,000520011
88,0,000520012
89,0,000520012
90,0,000520015
91,0,000520017
92,0,000520019
93,0,00052002
94,0,000520021
95,0,000520021
96,0,000520021
97,0,000520022
98,0,000520022
99,0,000520024
100,0,000520024
101,0,000520024
102,0,000520025
103,0,000520027
104,0,000520027
105,0,000520027
106,0,000520027
107,0,000520027
108,0,000520027
109,0,000520027
110,0,000520027
111,0,000520027
112,0,000520027
113,0,000520027
114,0,000520027
115,0,000520027
116,0,000520029
117,0,000520029
118,0,000520029
119,0,000520029
120,0,00052003
121,0,000520031
122,0,000520031
123,0,000520031
124,0,000520031
125,0,000520031
126,0,000520031
127,0,000520031
128,0,000520031
129,0,000520031
130,0,000520031
131,0,000520031
132,0,000520031
133,0,000520031
134,0,000520031
135,0,000520031
136,0,000520031
137,0,000520031
138,0,000520031
139,0,000520031
