CRANKANGLE,Rate of Heat Release Cylinder 1 (J/deg),Rate of Heat Release Cylinder 1 (J/s)
-150,0.185844,1672.596
-149,0.182088,1638.792
-148,0.166025,1494.225
-147,0.176736,1590.624
-146,0.158469,1426.221
-145,0.179211,1612.899
-144,0.228871,2059.839
-143,0.24357,2192.13
-142,0.246591,2219.319
-141,0.239939,2159.451
-140,0.201061,1809.549
-139,0.147601,1328.409
-138,0.179946,1619.514
-137,0.245515,2209.635
-136,0.282239,2540.151
-135,0.273033,2457.297
-134,0.24875,2238.75
-133,0.221729,1995.561
-132,0.209348,1884.132
-131,0.218308,1964.772
-130,0.241992,2177.928
-129,0.28672,2580.48
-128,0.318557,2867.013
-127,0.307022,2763.198
-126,0.291408,2622.672
-125,0.301409,2712.681
-124,0.2785,2506.5
-123,0.267499,2407.491
-122,0.24992,2249.28
-121,0.208136,1873.224
-120,0.19714,1774.26
-119,0.202387,1821.483
-118,0.1898,1708.2
-117,0.174425,1569.825
-116,0.187801,1690.209
-115,0.217457,1957.113
-114,0.23501,2115.09
-113,0.246017,2214.153
-112,0.311345,2802.105
-111,0.365059,3285.531
-110,0.356659,3209.931
-109,0.36908,3321.72
-108,0.392732,3534.588
-107,0.418512,3766.608
-106,0.478172,4303.548
-105,0.50882,4579.38
-104,0.459937,4139.433
-103,0.396828,3571.452
-102,0.343181,3088.629
-101,0.335221,3016.989
-100,0.376303,3386.727
-99,0.38124,3431.16
-98,0.340892,3068.028
-97,0.320535,2884.815
-96,0.367071,3303.639
-95,0.396551,3568.959
-94,0.351502,3163.518
-93,0.312035,2808.315
-92,0.314279,2828.511
-91,0.318765,2868.885
-90,0.324386,2919.474
-89,0.341883,3076.947
-88,0.350784,3157.056
-87,0.362521,3262.689
-86,0.372568,3353.112
-85,0.370649,3335.841
-84,0.38466,3461.94
-83,0.397623,3578.607
-82,0.3927,3534.3
-81,0.358195,3223.755
-80,0.343223,3089.007
-79,0.36601,3294.09
-78,0.364734,3282.606
-77,0.347894,3131.046
-76,0.320308,2882.772
-75,0.315423,2838.807
-74,0.345474,3109.266
-73,0.383317,3449.853
-72,0.386743,3480.687
-71,0.356916,3212.244
-70,0.33491,3014.19
-69,0.330441,2973.969
-68,0.325613,2930.517
-67,0.313981,2825.829
-66,0.292847,2635.623
-65,0.26173,2355.57
-64,0.257888,2320.992
-63,0.263884,2374.956
-62,0.254265,2288.385
-61,0.254837,2293.533
-60,0.2801,2520.9
-59,0.270689,2436.201
-58,0.237859,2140.731
-57,0.233347,2100.123
-56,0.223913,2015.217
-55,0.199379,1794.411
-54,0.188136,1693.224
-53,0.184608,1661.472
