CRANKANGLE,Rate of Heat Release Cylinder 1 (J/deg)
[deg],[J/deg]
-150,0,117048
-149,0,113458
-148,0,0975487
-147,0,108413
-146,0,0902963
-145,0,111192
-144,0,161036
-143,0,175948
-142,0,179171
-141,0,172744
-140,0,134093
-139,0,0808026
-138,0,113309
-137,0,179083
-136,0,216059
-135,0,207121
-134,0,183093
-133,0,15631
-132,0,144151
-131,0,153334
-130,0,177259
-129,0,222261
-128,0,254411
-127,0,243202
-126,0,227933
-125,0,238255
-124,0,21564
-123,0,204948
-122,0,18767
-121,0,146164
-120,0,135426
-119,0,140932
-118,0,128606
-117,0,113484
-116,0,127117
-115,0,157056
-114,0,17492
-113,0,18626
-112,0,251964
-111,0,306121
-110,0,298194
-109,0,311102
-108,0,335269
-107,0,3616
-106,0,421866
-105,0,453179
-104,0,404967
-103,0,342487
-102,0,289423
-101,0,282028
-100,0,323705
-99,0,329277
-98,0,289563
-97,0,269822
-96,0,317007
-95,0,347198
-94,0,30287
-93,0,264099
-92,0,267037
-91,0,272243
-90,0,278613
-89,0,296901
-88,0,306628
-87,0,319226
-86,0,330181
-85,0,329206
-84,0,344183
-83,0,358187
-82,0,354335
-81,0,320877
-80,0,306976
-79,0,330881
-78,0,330778
-77,0,315146
-76,0,288789
-75,0,285163
-74,0,316541
-73,0,355811
-72,0,360752
-71,0,332489
-70,0,312082
-69,0,309266
-68,0,306157
-67,0,296316
-66,0,27704
-65,0,247831
-64,0,245968
-63,0,254044
-62,0,246605
-61,0,249467
-60,0,277139
-59,0,270241
-58,0,240009
-57,0,238212
-56,0,231635
-55,0,210095
-54,0,201991
-53,0,201776
-52,0,200994
-51,0,193159
-50,0,163432
-49,0,115147
-48,0,0985836
-47,0,10065
-46,0,0780109
-45,0,0606401
-44,0,0848349
-43,0,102638
-42,0,0843465
-41,0,046622
-40,-0,0126552
-39,-0,0342246
-38,-0,0299316
-37,-0,0649479
-36,-0,1149
-35,-0,159625
-34,-0,224597
-33,-0,260058
-32,-0,260771
-31,-0,278608
-30,-0,405041
-29,-0,726602
-28,-1,01139
-27,-0,994012
-26,-0,784024
-25,-0,574646
-24,-0,234678
-23,0,53764
-22,1,42274
-21,1,62242
-20,0,901754
-19,0,35659
-18,1,32199
-17,4,33929
-16,8,3195
-15,10,3211
-14,9,34998
-13,7,10251
-12,4,89749
-11,3,19654
-10,1,96008
-9,1,02625
-8,0,383166
-7,-0,0584799
-6,-0,362764
-5,-0,532619
-4,-0,583424
-3,-0,589373
-2,-0,571904
-1,-0,648706
0,0,241248
1,6,65475
2,17,6988
3,23,9636
4,26,9794
5,32,6115
6,38,7109
7,43,8567
8,47,925
9,49,6871
10,47,0055
11,40,3585
12,33,167
13,27,7469
14,24,251
15,22,0192
16,20,3378
17,19,0651
18,18,1376
19,17,2203
20,16,2153
21,15,1038
22,13,9213
23,12,8171
24,11,784
25,10,7895
26,9,92478
27,9,23259
28,8,55588
29,7,83319
30,7,19474
31,6,61934
32,6,0393
33,5,47877
34,4,97861
35,4,6633
36,4,35749
37,3,96407
38,3,67606
39,3,47178
40,3,21816
41,2,89926
42,2,60693
43,2,41282
44,2,25077
45,2,06243
46,1,90265
47,1,78225
48,1,65932
49,1,56603
50,1,50326
51,1,42244
52,1,30436
53,1,24049
54,1,19425
55,1,06155
56,0,950622
57,0,874153
58,0,759133
59,0,665604
60,0,63536
61,0,666898
62,0,677558
63,0,638157
64,0,59334
65,0,539857
66,0,522101
67,0,470736
68,0,399066
69,0,392495
70,0,374114
71,0,310102
72,0,244754
73,0,237078
74,0,301683
75,0,347694
76,0,324176
77,0,254053
78,0,218009
79,0,218289
80,0,211628
81,0,227936
82,0,246349
83,0,246328
84,0,235927
85,0,221106
86,0,1746
87,0,0784098
88,0,0296846
89,0,0781863
90,0,107638
91,0,0813532
92,0,0620816
93,0,0319352
94,-0,00330801
95,0,0124946
96,0,0250503
97,0,0216355
98,0,0521202
99,0,0271074
100,-0,0266329
101,0,00889078
102,0,0538132
103,0,010538
104,-0,0416819
105,-0,0274522
106,-0,0138
107,-0,0350299
108,-0,0300109
109,-0,00896463
110,-0,0209284
111,-0,0717648
112,-0,0917129
113,-0,065225
114,-0,0222745
115,0,0409757
116,0,0498391
117,-0,0323377
118,-0,0742815
119,-0,0118982
120,0,0401767
121,0,0126089
122,-0,0224837
123,-0,0253654
124,-0,0348794
125,-0,0439834
126,-0,0875702
127,-0,176469
128,-0,267234
129,-0,35284
130,-0,504868
131,-0,706971
132,-0,826138
133,-0,949687
134,-1,16365
135,-1,38257
136,-1,56745
137,-1,75812
138,-0,932064
139,0
